;component;value;QTY;Supplier;link;
;microcontroller;ESP32 C3 super mini;1;aliexpress;https://www.aliexpress.com/item/1005006357721395.html?spm=a2g0o.cart.0.0.3d39378dHVMT8e&mp=1&pdp_npi=6%40dis%21MAD%21MAD+265.93%21MAD+265.93%21%21MAD+265.93%21%21%21%400b0fe32e17864540912496248e0f79%2112000038642095617%21ct%21MA%216372145608%21%211%210%21;
;display;2.8 capacitive touch screen;1;aliexpress;https://www.aliexpress.com/item/1005007869446657.html?mp=1&pdp_npi=6%40dis%21MAD%21MAD+39.42%21MAD+39.42%21%21MAD+39.42%21%21%21%400b88abba17864546065881440e0fb7%2112000042625562850%21ct%21MA%216372145608%21%211%210%21;
;RTC;DS3231;1;aliexpress;https://www.aliexpress.com/item/1005006102342437.html?spm=a2g0o.cart.0.0.5c7538dalIQh7b&mp=1&pdp_npi=6%40dis%21MAD%21MAD+16.99%21MAD+16.99%21%21MAD+16.99%21%21%21%400b88abba17864548038586185e0fb7%2112000035752742738%21ct%21MA%216372145608%21%211%210%21;
;audio ;DFPlayer mini;1;Digikey;https://www.digikey.com/en/products/detail/dfrobot/DFR0299/6588463;
;battery;3.7V 2000 mah;1;Digikey;https://www.digikey.com/en/products/detail/adafruit-industries-llc/2011/6612469?_gl=1*1h9yik2*_up*MQ..*_gs*MQ..&gclid=Cj0KCQjwkOvTBhDgARIsAKUNyRvmhkAqOr01gXuryNlJ94DLr1GqZYmiaDgynmqrYxVu0Q3V_4Rz29UaAipREALw_wcB&gclsrc=aw.ds&gbraid=0AAAAADrbLlhbaX51qNAWhM0Ml3W54XMHi;
;speaker;4 ohm 3W speaker;1;aliexpress;https://www.aliexpress.com/item/1005009459540834.html?spm=a2g0o.cart.0.0.180938dagZEakR&mp=1&pdp_npi=6%40dis%21MAD%21MAD+290.30%21MAD+145.15%21%21MAD+145.15%21%21%21%400b88abba17864549396441657e0fb7%2112000049170771831%21ct%21MA%216372145608%21%211%210%21;
;charger;TP4056;1;aliexpress;https://www.aliexpress.com/item/1005007593596607.html?spm=a2g0o.cart.0.0.508c38daWxSEO7&mp=1&pdp_npi=6%40dis%21MAD%21MAD+13.98%21MAD+12.97%21%21MAD+12;
;touch screen;TTP223;1;aliexpress;https://www.aliexpress.com/item/1005006087171183.html?spm=a2g0o.cart.0.0.6a7738dapIwit3&mp=1&pdp_npi=6%40dis%21MAD%21MAD+25.28%21MAD+25.28%21%21MAD+25.28%21%21%21%400b88abba17864547050643780e0fb7%2112000035668607147%21ct%21MA%216372145608%21%211%210%21;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
